name,calories,sugar,added_sugar,fat,fiber,protein,sodium,cholesterol,saturated_fat,carbohydrates,vitamin_c,calcium,potassium,magnesium,iron,omega3,monounsaturated_fat,zinc,phosphorus,vitamin_a,vitamin_b6,vitamin_b12,vitamin_e,vitamin_k,choline,niacin,health_label
"Bulgur wheat, cracked, soaked",202.15,1.75,0,3.27,3.66,7.94,4.59,0,0.33,35.24,0.08,23.06,133.08,85.95,3.14,0.6,0.77,2.97,292.39,0.0002,0.1264,0,0.522,0.0035,21.25,3.445,Healthy
"Hot dog, large, with special sauce",280.96,2.35,1.55,15.84,0.76,18.36,645.9,67.04,7.34,16.24,4.31,185.57,255.97,11.68,2.82,0.83,5.33,2.89,161.46,0.0261,0.0562,0.001773,1.409,0.0085,33.33,5.562,Unhealthy
"Chicken breast, cutlet, baked",146.86,0.09,0,4.5,0,26.4,79.14,68.38,0.92,0.19,0.13,6.91,335.53,23.6,1.29,0.63,1.76,1.7,249.92,0.0111,0.4395,0.000535,0.192,0.0026,87.48,12.173,Healthy
"Hazelnuts, slivered, dry roasted",578.74,0.93,0,51.14,9.61,19.08,3.96,0,6.7,10.54,1.44,164.49,669.49,331.68,6.9,9.03,20.82,7.17,626.4,0.0007,0.4578,0,4.269,0.005,23.57,7.026,Healthy
"Toffee, miniature, milk chocolate",401.55,60.33,49.1,11.15,2.77,0.59,198.8,7.48,3.88,74.71,0.8,20.84,50.29,11.71,1.49,0.42,2.01,1.82,82.86,0.0016,0.053,0.000164,0.932,0.0034,19.97,0.497,Unhealthy
"Cereal fruit flavored, king size, iced",420.02,31.25,28.38,11.02,3.09,5.52,264.89,0.57,4.14,74.69,10.37,18.11,124.26,26.87,9.82,0.3,3.26,2.57,104.54,0.1424,0.7716,0.002383,2.272,0.0076,8.17,11.302,Unhealthy
"Chicken thigh skinless, sliced, braised",136.82,0,0,2.5,0,28.32,71.95,57.18,0.4,0.26,0.04,14.75,300.95,21.91,1.2,0.33,0.84,1.47,152.99,0.0187,0.3012,0.000481,0.449,0.0023,88.35,9.331,Healthy
"Lentils red, mature, boiled",173.3,1.22,0,2.38,14.83,16.38,4.01,0,0.34,21.59,4.49,33.53,476.26,35.5,4.4,0.49,0.41,1.06,167.39,0.0049,0.3742,0,0.637,0.0079,42.57,2.714,Healthy
"Turkey breast, bone-in, poached",110.41,0.09,0,1.65,0,23.64,63.64,84.21,0.55,0.25,0.4,11.57,327.57,28.04,1.45,0.19,0.46,2.22,243.44,0.0165,0.7222,0.000474,0.385,0.0007,71.77,13.366,Healthy
"Tofu silken, sliced, scrambled",147.3,1.13,0,9.86,0.23,9.75,87.33,40.54,2.31,4.89,0.28,172.23,238.99,28.45,0.19,1.68,1.75,1.89,117.93,0.0982,0.0794,0.000864,0.52,0.0004,65.72,2.926,Healthy
"Chips potato plain, ridged, heavily salted",547.78,2.21,0.6,34.3,3.94,7.37,538.18,9.91,12.69,52.4,6.77,33.13,429.2,26.7,0.78,1.99,10.67,0.62,52.86,0.0044,0.3105,0,4.452,0.0062,10.33,1.148,Unhealthy
"Cashews, whole, soaked",517.31,2.3,0,40.91,10.61,24.37,3.96,0,4.27,12.91,1.33,188.87,459.27,348.71,2.91,7.37,19.57,3.55,407.26,0.0017,0.3245,0,17.843,0.0037,23.87,1.765,Healthy
"Toffee, bite size, cream filled",392.43,38.83,32.56,12.83,1.71,3.93,101.74,19.62,5.04,65.31,1.97,23.76,295.16,18.89,2.92,0.18,2.75,1.69,98.74,0.0066,0.007,4.00E-06,0.209,0.0045,19.45,0.63,Unhealthy
"Crackers cheese, thick cut, ranch flavored",456.25,0.98,0.01,26.65,1.2,7.23,480.98,7.37,6.55,46.87,6.57,38.44,335.89,32.56,0.52,1.95,7.19,0.7,174.66,0.0042,0.3146,0,1.796,0.0098,14.06,2.429,Unhealthy
"Cabbage, wedged, raw",25.4,1.22,0,0.16,2.44,2.33,41.76,0,0.04,3.66,11.24,19.77,156.18,11.42,0.55,0.02,0,0.25,49.36,0.1016,0.2802,0,1.031,0.0273,16.87,1.103,Healthy
"Barley, cooked, toasted",165.31,0.9,0,3.35,9.03,12.59,9.69,0,0.4,21.2,0.92,49.03,165.88,51.83,3.98,0.59,0.98,1.34,281.41,0.0009,0.1936,0,1.405,0.0024,29.23,6.616,Healthy
"Bell pepper green, wedged, grilled",26.11,1.29,0,0.23,1.87,0.82,28.13,0,0.04,5.19,16.03,36.33,284.03,12.04,0.43,0.02,0.01,0.3,24.41,0.151,0.2285,0,0.172,0.1475,8.5,1.083,Healthy
"Cereal chocolate puffs, king size, caramel dipped",482.39,27.9,23.74,14.31,1.1,7.24,491.69,4.69,4.39,81.16,16.36,95.38,194.97,22.55,6.52,0.4,3.93,4.85,123.36,0.4074,0.6326,0.004799,2.553,0.0085,17.13,5.833,Unhealthy
"Sweet potato, fresh, steamed",45.35,2.57,0,0.47,2.35,2.15,40.33,0,0.12,8.13,55.92,35.17,358.12,10.88,0.81,0.07,0.04,0.12,38.12,0.1239,0.2795,0,0.629,0.0177,23.75,0.966,Healthy
"Taco beef, classic, breaded",271.75,4.69,2.67,13.23,1.86,13.84,749.55,79.82,4.49,24.33,4.89,63.44,263.71,23.4,2.52,0.73,4.77,1.96,178.22,0.0343,0.1308,0.001192,1.55,0.0024,34.03,5.416,Unhealthy
"Cupcake frosted, thick, with frosting",455.5,27.14,23.44,25.26,0.79,5.78,330.59,68.02,12.12,51.26,0.86,62.98,86.41,11.27,2.28,1.82,6.9,0.39,121.63,0.0403,0.0681,0.000125,2.981,0.0067,33.53,1.764,Unhealthy
"Taffy, wrapped, cream filled",506.99,44.43,38.42,22.39,0.71,3.29,44.86,14.99,10.78,73.08,1.14,66.59,155.24,27.26,1.88,1.14,7.26,0.55,100.79,0.0004,0.081,7.10E-05,1.7,0.0014,3.85,0.824,Unhealthy
"Margarine, creamy, double cream",703.5,5.67,5.36,66.94,2.35,1.61,1101.04,43.9,18.37,23.65,1.18,25.08,155.96,14.59,0.94,9.19,16.53,0.34,30.07,0.0076,0.0047,7.30E-05,3.928,0.0713,11.08,0.115,Unhealthy
"Pomegranate, segments, dried unsweetened",90.52,10.7,0,0.4,3.3,0.34,3.58,0,0.04,21.39,57.75,17.58,273.47,7.31,0.11,0.06,0.03,0.13,19.31,0.0397,0.0443,0,0.881,0.0064,9.76,0.622,Healthy
"Lobster, whole, broiled",157.62,0.03,0,8.34,0,20.42,105.93,44.74,1.49,0.22,1.21,20.06,322.97,21.47,1.89,2.22,1.8,1.27,259.8,0.0141,0.3268,0.002188,1.928,0.0021,62.43,7.924,Healthy
"Barley, whole grain, boiled",170.96,1.21,0,2.52,2.7,13.1,6.07,0,0.4,23.97,0.26,13.03,220.09,101.84,1.27,0.44,0.76,1.1,123.44,0.0008,0.3881,0,0.15,0.0043,24.19,3.875,Healthy
"Chicken liver, cubed, baked",140.41,0.24,0,5.17,0,22.97,73.77,58.93,1.25,0.5,0.47,12.4,334.75,26.59,0.69,0.61,2.31,0.84,156.42,0.0121,0.6015,0.000963,0.214,0.0034,64.1,6.455,Healthy
"Blueberry, segments, fresh",100.32,11.87,0,0.56,3.12,1.14,0.63,0,0.07,22.68,72.8,5.56,114.8,10.15,0.43,0.07,0.05,0.08,19.82,0.0293,0.0924,0,0.881,0.005,9.61,0.102,Healthy
"Turkey ground lean, cubed, steamed",111.21,0.11,0,1.65,0,23.86,40.25,52.21,0.35,0.23,0.02,11,266.22,29.4,1.46,0.22,0.57,1.8,167.9,0.0189,0.3906,0.000711,0.163,0.0009,76.34,12.684,Healthy
"Soda root beer concentrate, syrup, honey sweetened",193.97,40.66,37.85,1.25,0,1.48,32.79,0,0.5,44.2,1.06,6.22,17.49,0.26,0.28,0.07,0.36,0.03,23.29,0.0001,0.013,0,0.09,0.0005,4.47,0.176,Unhealthy
"Turkey ground lean, strips, grilled",147.45,0,0,3.85,0,28.08,56.39,73.26,1.3,0.12,0.25,13.36,300.08,26.59,1.27,0.43,1.51,1.99,192.46,0.0164,0.6903,0.000526,0.346,0.0042,62.39,5.47,Healthy
"Butterscotch, miniature, nut filled",421.64,44.82,37.97,18.92,0.87,0.53,134.09,18.99,9.39,62.31,0.81,98.56,180.59,28.83,2.31,1.36,5.02,1.29,28.1,0.0088,0.0346,0.000133,1.861,0.0043,13.85,0.47,Unhealthy
"Apple, peeled, frozen unsweetened",77.25,10.59,0,0.33,4.72,0.45,2.29,0,0.04,18.12,57.21,17.85,245.67,9.28,0.23,0.03,0.02,0.07,16.75,0.027,0.0219,0,0.749,0.0035,7.16,0.464,Healthy
"Cauliflower, chopped, raw",56.55,3.18,0,0.47,1.28,2.94,10.47,0,0.08,10.14,57.83,24.02,222.32,13.22,1.25,0.06,0.04,0.5,35.89,0.4073,0.1813,0,1.995,0.0791,13.51,1.314,Healthy
"Pear, without skin, dried unsweetened",72.27,11.86,0,0.43,4.4,0.84,4.11,0,0.06,16.26,24.72,15.98,209.51,7.87,0.48,0.06,0.02,0.14,15.2,0.0576,0.1141,0,1.114,0.0076,7.59,0.722,Healthy
"Parsnip, julienned, sauteed",43.91,2.96,0,0.35,3.48,2.36,46.95,0,0.04,7.83,7.03,55.32,354.26,12.96,0.78,0.04,0.04,0.39,31.85,0.1352,0.1435,0,1.776,0.1021,8.84,0.647,Healthy
"Burger double patty, regular, with cheese sauce",353.19,4.1,2.39,22.07,0.72,13.12,573.6,75.58,10.85,25.52,4.02,106.52,294.85,21.97,2,0.77,8.77,1.17,179.12,0.0132,0.0978,0.000553,0.477,0.0021,34.17,5.598,Unhealthy
"Dragon fruit, sliced, dried unsweetened",44.03,5.56,0,0.27,3.79,1.05,4.21,0,0.04,9.35,30.84,21.39,185.99,16.99,0.11,0.04,0.01,0.13,25.42,0.0156,0.0316,0,1.307,0.0092,7.27,0.533,Healthy
"Eggplant, fresh, sauteed",33.87,0.86,0,0.47,3.11,3.19,22.78,0,0.05,4.22,26.91,45.05,176.53,15.72,0.72,0.08,0.02,0.38,22.08,0.2669,0.2006,0,1.751,0.081,20.22,0.922,Healthy
"Chicken drumstick skinless, cutlet, steamed",148.93,0.02,0,3.85,0,27.94,68.7,68.39,1.04,0.63,0.25,11.39,348.68,21.66,0.73,0.4,1.5,1.69,183.07,0.0096,0.4883,0.000341,0.181,0.0019,79.47,5.495,Healthy
"Tofu silken, sliced, baked",148.56,0.6,0,6.16,1.93,17.04,67.8,254.06,1.75,6.24,0.5,63.1,201.24,7.48,1.68,0.78,1.59,1.75,169.05,0.0776,0.0506,0.000797,0.886,0.0005,16.01,1.964,Healthy
"Tartar sauce, smooth, extra creamy",337.92,18.06,15.37,20.52,0.59,1.26,976.14,47.78,7.7,37.05,2.68,20.94,168.94,7.92,0.83,1.85,6.41,0.4,80.87,0.0065,0.0455,5.50E-05,5.004,0.0271,8.48,0.173,Unhealthy
"Rice crackers flavored, ridged, BBQ coated",438.17,4.21,1.36,21.85,1.76,5.35,556.12,4.07,4.65,55.03,14.85,26.59,501,38.3,1.19,3.19,6.22,1.38,195.2,0.0054,0.366,0,1.453,0.0023,23.27,1.168,Unhealthy
"Salmon pink, steak, seared",150.71,0.02,0,9.23,0,16.7,96.36,45.75,0.58,0.21,0.78,8.4,346.38,25.7,0.6,1.17,1.74,1.58,254.12,0.0147,0.2389,0.00578,1.638,0.0028,58.39,10.156,Healthy
"Mung beans, hulled, pressure cooked",156.44,0.75,0,1.96,12.83,19.08,14.85,0,0.36,15.62,3.97,52.04,531.19,45.81,2.61,0.21,0.31,2.12,150.13,0.0028,0.3908,0,0.61,0.0064,31.22,2.378,Healthy
"Beets, cubed, raw",39.33,1.51,0,0.17,1.25,3.24,32.96,0,0.03,6.21,31.66,33.54,204.82,23.79,0.44,0.01,0.01,0.4,47.65,0.2194,0.0946,0,0.407,0.1014,11.5,0.505,Healthy
"Salmon sockeye, canned in oil drained, steamed",212.49,0.16,0,13.61,0,21.81,74.89,73.73,1.95,0.69,2.43,49.05,321.04,25.71,1.12,2.97,4.78,0.48,173.35,0.0258,0.5451,0.008989,1.311,0.0025,47,11.3,Healthy
"Gummy bears, king size, sugar coated",377.3,52.61,43.83,11.94,1.64,4.13,118.17,1.36,5.77,63.33,0.01,78.31,162.58,29.25,1.9,0.6,3.22,1.51,126.25,0.006,0.054,0.000137,1.848,0.0035,14.34,0.109,Unhealthy
"Pepperoni, diced, grilled",366.37,1.8,0.84,30.53,0,14.91,854.21,87.92,10.69,7.99,1.8,10.07,232.31,23.89,2.2,1.67,10.2,1.42,91.35,0.0007,0.1858,0.002563,0.262,0.0028,43.36,2.151,Unhealthy
"Mustard greens, diced, steamed",26.73,1.51,0,0.57,2.27,1.62,77,0,0.1,3.78,36.22,194.17,356.85,75.19,1.99,0.1,0.01,0.74,20.45,0.2537,0.1098,0,1.007,0.7882,11.54,0.622,Healthy
"Swordfish, fillet, steamed",113.55,0.33,0,1.99,0,23.2,118.28,63.46,0.3,0.71,0.9,13.88,399.84,25.72,0.68,0.41,0.35,1.39,261.75,0.0488,0.2123,0.00862,1.178,0.0028,52.48,4.762,Healthy
"Cherry sweet, peeled, ripe",64.41,8.72,0,0.41,2.63,1.19,1.55,0,0.05,13.99,72.21,20.22,309.8,19.02,0.45,0.05,0.04,0.06,15.93,0.0257,0.0812,0,1.388,0.0099,3.11,0.434,Healthy
"Romaine lettuce, minced, blanched",41.16,0.95,0,0.72,2.8,2.95,79.89,0,0.12,5.72,43.25,44.36,262.69,69.62,1.46,0.13,0.04,0.43,60.87,0.4173,0.0542,0,0.891,0.5544,22.73,0.931,Healthy
"Chocolate covered raisins, bite size, milk chocolate",457.31,46.7,42.68,21.59,0.42,2.39,179.81,16.22,10.56,63.36,0.25,25.01,256.53,23.72,1.71,1.55,5.11,0.3,80.86,0.0001,0.0713,0.000175,0.278,0.0004,2.38,0.715,Unhealthy
"Barley, ground, simmered",141.85,1,0,2.49,4.09,7.61,1.3,0,0.34,22.25,0.06,20.66,168.03,110.13,1.94,0.24,0.68,2.27,222.21,0,0.1329,0,0.963,0.0029,17.48,6.028,Healthy
"Cauliflower, fresh, grilled",61.26,2.27,0,0.3,1.52,3.23,13.3,0,0.06,11.41,22.37,54.56,238.52,14.83,0.84,0.04,0.02,0.16,58.63,0.2478,0.1854,0,0.237,0.0274,13.34,0.651,Healthy
"Fried okra, beer battered, fried in vegetable oil",359.37,3.89,1.68,16.45,1.16,14.35,348.72,43.73,5.75,38.48,1.64,36.71,473.37,24.95,1.16,2.37,6.37,0.43,79.47,0.0035,0.2503,0.000256,0.791,0.0097,28.3,2.436,Unhealthy
"Fried calamari, regular, flash fried",357.43,0.83,0.04,24.35,1.1,7.12,320.57,32.78,5.88,27.45,2.95,41.39,206.92,15.92,1.57,2.75,7.9,0.94,129.24,0.0035,0.2354,3.00E-05,2.419,0.0182,12.21,2.605,Unhealthy
"Soda cola concentrate, mix, carbonated",183.54,30.85,29.38,1.54,0,1.4,32.44,0,0.2,41.02,3.12,5.69,42.37,6.32,0.22,0.13,0.16,0.02,25.55,0.0004,0.0105,0,0.034,0.0004,4.06,0.398,Unhealthy
"Donut glazed, glazed, with cream filling",448.66,19.44,17.26,23.78,0.7,6.88,321.58,56.42,10.3,51.78,0.92,48.22,129.01,20.29,2.43,1.43,4.89,0.48,127.69,0.0399,0.0356,0.000292,2.412,0.0042,14.31,1.555,Unhealthy
"Swordfish, fillet, smoked",192.67,0.26,0,9.95,0,24.87,87.09,47.52,0.96,0.91,0.01,45.86,394.76,21.98,1.16,1.21,3.23,1.46,264.97,0.0219,0.4016,0.005723,0.67,0.0015,43.73,4.666,Healthy
"Chia seeds, sliced, toasted",563.07,2.02,0,45.03,12.44,24.34,0.78,0,6.66,15.11,0.11,246.43,681.76,159.65,4.46,10.18,17.31,2.57,499.05,0,0.1217,0,11.617,0.0023,23.3,6.74,Healthy
"Candy coated chocolate, filled, cream filled",556.94,40.87,34.32,30.02,0.27,1.35,114.63,18.83,10.27,70.34,1.7,59.85,194.29,45.66,0.55,1.45,7.47,1.91,101.34,0.0045,0.0333,9.70E-05,1.664,0.003,12.63,0.409,Unhealthy
"Ice cream mint chip, layered, with sprinkles",296.43,27.6,22.17,14.99,1.67,2.4,84.1,36.86,9.6,37.98,1.86,111.16,190.67,22.69,0.14,0.52,3.31,0.49,135.84,0.1276,0.036,0.000242,0.274,0.0026,21.29,0.105,Unhealthy
"Mustard greens, chopped, boiled",41.09,1.46,0,0.73,3.5,3.31,38.98,0,0.1,5.32,91.53,104.83,274.21,29.88,2.45,0.11,0.08,0.49,48.87,0.6159,0.2428,0,1.413,0.7272,20.07,0.366,Healthy
"Ice cream peanut butter, super premium, with caramel ribbon",293.27,30.75,27.9,14.19,0.95,2.51,56.97,74.94,8.73,38.88,2.69,126.1,235.79,8.09,0.45,0.67,4.1,0.66,93.01,0.0656,0.0466,0.000338,0.398,0.0007,19.17,0.122,Unhealthy
"Chips sweet potato fried, party size, spicy",443.76,4.13,1.64,22.52,1.49,6.52,687.27,0.61,6.01,53.75,8.26,20.63,563.67,36.78,1.42,1.68,7.05,1.09,67.01,0.0004,0.2588,0,4.953,0.0059,16.48,4.645,Unhealthy
"Butterhead lettuce, torn, steamed",41.16,2.33,0,0.52,2.75,2.48,59.03,0,0.08,6.64,118.28,69.9,406.85,72.85,1.29,0.06,0.06,0.58,21.1,0.2092,0.2296,0,1.972,0.7196,17.13,0.966,Healthy
"Nougat, layered, milk chocolate",411.51,60.03,50.37,8.23,0.94,5.74,28.59,16.84,4.59,78.62,0.61,42.18,58.3,14.84,0.89,0.16,2.24,1.8,96.76,0.0012,0.009,2.80E-05,1.184,0.0003,7.44,0.836,Unhealthy
"Fudge, wrapped, dark chocolate coated",566.5,46.9,43.89,34.3,1.72,1.61,59.08,4.28,19.7,62.84,0.3,18.96,108.43,15.46,1.5,0.72,6.08,1.39,54.51,0.0075,0.0605,0.000197,1.91,0.0022,16,0.665,Unhealthy
"Candy corn, bite size, nut filled",411.62,34.2,27.87,17.38,0.19,2.31,128.38,8.59,10.33,61.49,0.81,72.43,194.01,25.91,0.96,1.35,4.52,1.4,101.13,0.0017,0.0598,0.0001,0.651,0.0046,2.12,0.348,Unhealthy
"Acorn squash, diced, raw",29.9,1.35,0,0.5,3.03,1.35,39.33,0,0.07,5,40.67,14.42,151.17,27.91,1.42,0.1,0.03,0.21,56.53,0.0532,0.2149,0,1.664,0.1476,12.72,1.115,Healthy
"Sesame seeds, shelled, soaked",619.21,3.76,0,48.57,6.44,24.72,0.77,0,6.46,20.8,0.92,107.49,748.23,132.12,4.27,6.87,12.84,3.26,366.48,0.0012,0.1233,0,11.034,0.002,27.15,7.104,Healthy
"Hazelnuts, sliced, raw",671.98,1.04,0,59.14,8.78,19.72,1.09,0,8.5,15.21,1.45,220.44,687.13,286.49,4.51,14.37,24.98,6.87,429.71,0.0027,0.5407,0,12.672,0,54.66,3.344,Healthy
"Loaded nachos, classic, grilled with sauce",377.48,8.7,5.12,21.48,1.01,16.3,528.17,34.25,9.46,29.74,4.49,84.35,236.75,10.57,2.25,1.72,8.24,1.48,236.75,0.0104,0.0773,0.001485,1.791,0.0027,32.81,3.937,Unhealthy
"Ice cream rocky road, regular, with cookie pieces",227.85,20.53,16.76,8.13,1.86,3.04,72.54,69.44,3.43,35.63,1.74,87.82,215.48,18.15,0.44,0.17,1.7,0.87,110.07,0.1116,0.0368,0.000241,0.213,0.0016,24.4,0.426,Unhealthy
"Ice cream strawberry, premium, sugar cone",203.05,18.67,15.96,8.73,1.28,4.49,119.41,48.78,4.03,26.63,2.8,87.5,157.87,9.44,0.2,0.31,1.51,0.73,132.87,0.0523,0.0384,0.000438,0.469,0.0025,17.47,0.438,Unhealthy
"Bell pepper green, halved, boiled",40.75,3.08,0,0.15,2.17,1.62,37.26,0,0.03,8.23,33.12,40.83,247.85,14.52,0.71,0.03,0.01,0.33,25.91,0.4912,0.2994,0,0.159,0.0413,11.15,1.438,Healthy
"Milkshake powder, powder, sweetened",185.07,29.88,29.42,1.91,0,1.18,14.37,0,0.1,40.79,4.6,16.13,23.56,9.4,0.22,0.01,0.5,0.05,0.81,0.0002,0.0032,0,0.085,0.0002,2.26,0.358,Unhealthy
"Orange, cubed, ripe",76.11,8.95,0,0.19,3.85,1.35,1.97,0,0.01,17.25,63.71,17.62,267.99,11.23,0.41,0.01,0.01,0.13,20.55,0.0066,0.0334,0,1,0.0056,9.37,0.346,Healthy
"Juice drink sweetened concentrate, mix, cane sugar",280.39,45.76,42.39,2.35,0,1.29,45.85,0,0.48,63.52,1.64,16.83,19.07,9.28,0.06,0.02,0.06,0.05,8.95,0.0007,0.0196,0,0.04,0.0004,0.1,0.137,Unhealthy
"Raspberry, halved, dehydrated",77.92,14.07,0,0.68,1.73,1.09,3.54,0,0.07,16.86,86.96,23.96,335.85,15.48,0.16,0.08,0.03,0.28,28.33,0.059,0.0457,0,0.514,0.0072,8.59,0.57,Healthy
"Chimichanga, large, deep fried",305.06,6.86,4.43,12.1,1.06,19.04,747.33,43.99,4.73,30,0.88,79.38,101.02,17.5,1.71,0.95,2.66,1.68,143.68,0.0334,0.0896,0.001538,1.046,0.0058,29.88,4.027,Unhealthy
"Freekeh, whole grain, boiled",184.91,1.76,0,4.43,8.72,3.89,4.19,0,0.71,32.37,0.96,17.67,187.17,69.04,2.84,0.66,0.94,1.63,241.41,0.0016,0.4589,0,1.314,0.0028,21.24,5.18,Healthy
"Lima beans, dried, cooked",168.73,1,0,2.37,11.27,20.75,8.54,0,0.41,16.1,1.11,50.08,345.76,38.22,2.21,0.38,0.45,2.5,101.34,0.0041,0.2526,0,0.824,0.0075,35.77,2.261,Healthy
"Chicken thigh skinless, diced, baked",159.79,0.16,0,6.39,0,25.18,77.49,70.86,1.57,0.39,0.32,8.47,217.36,29.01,0.87,0.82,2.07,1.06,233.55,0.0143,0.4591,0.000534,0.412,0.0025,79.41,10.908,Healthy
"Tempeh, drained, boiled",166.62,0.25,0,10.42,1.79,15.3,86.68,280.96,2.44,2.91,0.01,137.18,155.5,39.7,0.46,0.74,4,1,132.57,0.0349,0.0947,0.000586,0.888,0.0004,33.98,0.67,Healthy
"Pastrami, sliced, cured",340.7,1.63,0.51,29.1,0,13.62,1168.95,71.77,12.6,6.08,1.11,49.04,226,14.33,1.99,0.93,10.66,2.52,193.41,0.0053,0.124,0.001514,0.215,0.0023,65.04,3.104,Unhealthy
"Buttermilk low fat, strained, fat free",51.88,3.85,0.05,0.16,0,6.46,30.6,9.88,0.08,6.15,0.21,91.81,191.72,10.29,0.02,0,0.04,0.79,150.69,0.0556,0.0666,0.000391,0.093,0.0003,14.11,0.119,Healthy
"Pretzels filled, thick cut, salted",523.74,2.67,0.13,35.78,4.49,5.33,493.17,4.88,13.21,45.1,7.3,48.44,259.02,33.74,0.86,2.1,9.21,0.73,145.25,0.0008,0.228,0,4.219,0.0018,29.94,4.513,Unhealthy
"Acorn squash, whole, baked",60.66,5.45,0,0.26,1.78,2.62,9.39,0,0.05,11.96,43.44,53.22,203.1,17.51,1.09,0.05,0.01,0.46,57.75,0.1111,0.2322,0,1.786,0.1343,17.7,0.731,Healthy
"Quesadilla cheese, double, battered",395.5,8.32,7.47,24.74,0.79,10.95,815.4,34.7,6.77,32.26,0.65,86.7,257.53,11.9,2.14,2.14,5.05,1.32,215.76,0.0142,0.1617,0.001082,1.122,0.0045,40.91,2.987,Unhealthy
"Asparagus, julienned, roasted",45.57,1.57,0,0.21,2.72,2.03,28.27,0,0.05,8.89,58.8,31.13,178.95,12.2,1.23,0.04,0.01,0.28,45.12,0.4294,0.13,0,0.976,0.0875,10.02,1.452,Healthy
"Frozen pie, hard packed, with nuts",333.02,24.9,20.18,19.42,0.61,3.54,78.25,57.9,8.72,36.02,0.65,147.01,233.7,9.98,0.43,0.79,3.19,0.82,89.6,0.069,0.0685,0.000252,0.258,0.0014,26.64,0.127,Unhealthy
"Grapes red, cubed, ripe",64.74,12.24,0,0.22,3.06,0.39,0.6,0,0.02,15.3,29.89,16.24,313.24,17.63,0.35,0.01,0.01,0.07,24.89,0.0275,0.1499,0,0.117,0.0041,5.89,0.359,Healthy
"Ice cream butter pecan, premium, with chocolate chips",255.57,16.52,15.53,13.65,1.95,3.41,59.14,37.35,6.67,29.77,1.55,141.45,242.79,21.59,0.42,0.81,3.32,0.75,113.25,0.0726,0.0342,0.000245,0.463,0.0026,25.25,0.385,Unhealthy
"Chocolate spread, whipped, sweetened",276.19,4.44,3.45,25.19,0.21,2.98,533.17,34.22,7.15,9.39,2.23,19.68,68.82,17.32,0.55,2.56,8.76,0.25,55.56,0.0018,0.0812,4.40E-05,8.807,0.045,6.41,0.785,Unhealthy
"Chia seeds, sliced, blanched",555.99,1.11,0,44.67,5.52,20.07,2.86,0,2.41,18.42,0.75,69.21,442.27,167.79,4.35,5.61,20.07,4.5,614.3,0.0024,0.5855,0,11.143,0.0005,50.1,7.638,Healthy
"Pepperoni, ground, nitrate cured",237.84,1.63,0.95,15.36,0,16.92,920.59,58.34,6.46,7.98,3.13,38.58,324.16,20.29,0.9,0.42,5.54,3.46,239.55,0.0034,0.1586,0.002153,0.376,0.0036,46.18,4.583,Unhealthy
"Mackerel, tail, raw",174.07,0.07,0,6.67,0,27.86,47.11,54.43,1.26,0.65,0.15,27.3,480.52,28.21,1.35,1.63,1.37,1.25,196.82,0.0459,0.5312,0.008018,0.718,0.0027,79.93,8.606,Healthy
"Ranch dressing, pourable, homestyle",541.64,17.24,16.07,44.92,2.68,2.82,508.16,43.85,16.49,31.52,4.07,36.8,64.67,17.04,1,4.25,9.83,0.35,91.09,0.0076,0.0698,4.40E-05,3.978,0.0159,17.1,0.756,Unhealthy
"Freekeh, cracked, steamed",160.86,0.61,0,3.62,6.82,4.23,4.07,0,0.81,27.84,0.78,37.74,293.9,68.71,1.19,0.39,1.16,2.91,325.65,0.0003,0.1456,0,0.67,0.0046,20.55,5.375,Healthy
"Collard greens, shredded, braised",26.3,0.97,0,0.7,2.03,2,61.72,0,0.08,3,106.73,133.15,381.55,41.02,1.26,0.16,0.08,0.42,49.73,0.7641,0.2825,0,1.555,0.4304,22.53,1.049,Healthy
"Passion fruit, with skin, fresh",45.6,5.45,0,0.52,1.24,0.52,3.55,0,0.07,9.71,84.89,11.88,237.48,11.72,0.33,0.05,0.03,0.08,28.82,0.049,0.1205,0,0.724,0.0077,7.52,0.173,Healthy
"Chicken wing skinless, sliced, broiled",139.7,0.1,0,4.1,0,25.46,63.68,75.68,1.34,0.24,0.11,14.61,239.88,26.64,0.78,0.3,1.28,1.51,214.04,0.0127,0.6531,0.000807,0.238,0.001,86.15,10.955,Healthy
"Ham deli, patty, heat and serve",334.04,0.17,0.08,26.68,0,16.58,1366.03,79.4,9.24,6.9,3.74,38.61,167.85,21.42,1.09,1.95,11.55,3.27,111.75,0.0009,0.2517,0.002706,0.216,0.0001,55.47,2.106,Unhealthy
"Cereal frosted flakes, value pack, marshmallow topped",443.35,26.54,25.94,12.15,3.61,4.09,334.67,2.09,1.37,79.41,7.38,68.63,105.81,36.86,12.03,0.79,3.11,2,194.56,0.1723,0.6385,0.001882,3.788,0.0041,12.65,8.372,Unhealthy
"Ice cream cookies and cream, premium, with fudge swirl",243.94,29.01,24.99,9.34,1.2,3.41,106.38,72.88,5.89,36.56,1.6,135.35,128.09,16.85,0.11,0.24,2.75,0.83,99.43,0.077,0.0582,0.000424,0.435,0.0025,22.21,0.447,Unhealthy
"Chips sour cream and onion, kettle, flavored",526.3,1.38,0.01,33.46,2.4,4.4,413.32,2.83,9.62,51.89,3.65,24.31,234.23,21.79,0.59,2.66,10.13,0.98,186.98,0.0082,0.377,0,4.623,0.0082,14.52,4.054,Unhealthy
